winner,bot_player,bot_wins,moves,max_depth,avg_minimax_time,game_number
0,0,True,15,16,4.5299530029296875e-06,3249
0,0,True,7,16,4.827976226806641e-06,3250
0,0,True,7,16,4.827976226806641e-06,3251
Draw,1,False,16,15,8.493661880493164e-06,3252
0,0,True,7,16,4.112720489501953e-06,3253
0,0,True,7,16,4.112720489501953e-06,3254
Draw,1,False,16,15,5.692243576049805e-06,3255
1,1,True,16,15,6.9141387939453125e-06,3256
0,0,True,7,16,4.589557647705078e-06,3257
0,0,True,7,16,5.0067901611328125e-06,3258
0,0,True,7,16,4.410743713378906e-06,3259
1,1,True,10,15,6.151199340820313e-06,3260
Draw,0,False,16,16,5.304813385009766e-06,3261
0,0,True,11,16,5.6425730387369794e-06,3262
1,1,True,16,15,5.513429641723633e-06,3263
0,0,True,7,16,4.172325134277344e-06,3264
Draw,0,False,16,16,4.76837158203125e-06,3265
1,1,True,16,15,5.4836273193359375e-06,3266
1,1,True,14,15,6.335122244698661e-06,3267
0,0,True,15,16,7.092952728271484e-06,3268
1,1,True,10,15,6.771087646484375e-06,3269
Draw,1,False,16,15,5.930662155151367e-06,3270
Draw,1,False,16,15,7.510185241699219e-06,3271
Draw,0,False,16,16,5.453824996948242e-06,3272
1,1,True,16,15,5.7220458984375e-06,3273
1,1,True,16,15,6.139278411865234e-06,3274
0,0,True,15,16,5.036592483520508e-06,3275
1,1,True,8,15,6.079673767089844e-06,3276
1,1,True,16,15,6.020069122314453e-06,3277
1,1,True,8,15,5.424022674560547e-06,3278
Draw,0,False,16,16,5.364418029785156e-06,3279
1,1,True,14,15,6.539481026785714e-06,3280
1,1,True,16,15,5.811452865600586e-06,3281
0,0,True,7,16,5.543231964111328e-06,3282
Draw,0,False,16,16,5.5730342864990234e-06,3283
0,0,True,7,16,6.020069122314453e-06,3284
1,1,True,16,15,5.662441253662109e-06,3285
1,1,True,16,15,9.357929229736328e-06,3286
1,1,True,16,15,4.947185516357422e-06,3287
Draw,0,False,16,16,6.586313247680664e-06,3288
1,1,True,16,15,7.838010787963867e-06,3289
0,0,True,7,16,5.781650543212891e-06,3290
0,0,True,13,16,4.76837158203125e-06,3291
Draw,1,False,16,15,7.331371307373047e-06,3292
Draw,0,False,16,16,6.794929504394531e-06,3293
1,1,True,16,15,5.602836608886719e-06,3294
Draw,1,False,16,15,4.470348358154297e-06,3295
1,1,True,8,15,5.602836608886719e-06,3296
Draw,0,False,16,16,4.827976226806641e-06,3297
Draw,1,False,16,15,5.036592483520508e-06,3298
Draw,1,False,16,15,4.6193599700927734e-06,3299
0,0,True,7,16,5.304813385009766e-06,3300
1,1,True,10,15,5.769729614257812e-06,3301
0,0,True,7,16,4.827976226806641e-06,3302
Draw,1,False,16,15,5.0067901611328125e-06,3303
1,1,True,10,15,4.720687866210938e-06,3304
0,0,True,7,16,4.351139068603516e-06,3305
1,1,True,8,15,5.185604095458984e-06,3306
0,0,True,7,16,4.827976226806641e-06,3307
1,1,True,16,15,6.705522537231445e-06,3308
0,0,True,7,16,4.112720489501953e-06,3309
Draw,0,False,16,16,4.500150680541992e-06,3310
0,0,True,7,16,4.0531158447265625e-06,3311
0,0,True,13,16,4.427773611886161e-06,3312
1,1,True,8,15,5.602836608886719e-06,3313
0,0,True,7,16,4.231929779052734e-06,3314
1,1,True,16,15,4.827976226806641e-06,3315
Draw,1,False,16,15,4.76837158203125e-06,3316
Draw,0,False,16,16,4.678964614868164e-06,3317
1,1,True,16,15,4.678964614868164e-06,3318
Draw,0,False,16,16,4.678964614868164e-06,3319
1,1,True,14,15,5.177089146205357e-06,3320
1,1,True,12,15,5.125999450683594e-06,3321
0,0,True,13,16,4.700251988002232e-06,3322
Draw,0,False,16,16,4.76837158203125e-06,3323
Draw,1,False,16,15,5.21540641784668e-06,3324
