start_number,winner,minimax_player,minimax_bot_wins,turns,max_depth,avg_minimax_time,game_number
27,0,0,True,9,27,0.0009994029998779297,159
17,1,1,True,6,8,3.6875406901041664e-05,160
26,0,0,True,11,26,0.0012084245681762695,161
21,0,0,True,5,21,0.0004006226857503255,162
18,0,0,True,7,18,0.0003191828727722168,163
28,0,1,False,7,14,0.00014066696166992188,164
26,0,0,True,11,26,0.001018842061360677,165
29,1,1,True,8,14,0.00016075372695922852,166
27,1,1,True,12,26,0.0007509787877400717,167
21,0,0,True,5,21,0.00040070215861002606,168
25,1,1,True,6,12,9.258588155110677e-05,169
23,0,0,True,9,23,0.0005744457244873047,170
30,0,0,True,9,30,0.0014005661010742187,171
28,0,0,True,7,28,0.0008414387702941895,172
20,0,0,True,7,20,0.00030219554901123047,173
26,0,0,True,7,26,0.000658869743347168,174
24,0,0,True,9,24,0.0006677150726318359,175
25,0,0,True,7,25,0.0005817413330078125,176
29,0,0,True,7,29,0.0008867383003234863,177
18,0,0,True,7,18,0.0003235936164855957,178
30,1,0,False,8,30,0.0010585784912109375,179
25,1,1,True,6,12,8.591016133626302e-05,180
23,1,1,True,10,11,7.901191711425781e-05,181
25,0,0,True,9,25,0.0007670402526855468,182
22,0,0,True,7,22,0.00038319826126098633,183
26,0,0,True,11,26,0.001089930534362793,184
30,1,1,True,8,15,0.0001265406608581543,185
26,1,1,True,10,25,0.0007627487182617187,186
28,1,1,True,14,27,0.0010831696646554129,187
15,1,1,True,6,7,3.488858540852865e-05,188
27,1,1,True,6,13,0.0001098314921061198,189
16,0,0,True,5,16,0.00018358230590820312,190
25,1,1,True,6,12,9.195009867350261e-05,191
28,0,0,True,7,28,0.0007703304290771484,192
26,0,0,True,11,26,0.001111904780069987,193
19,0,0,True,7,19,0.0003789663314819336,194
16,0,0,True,7,16,0.00016492605209350586,195
26,1,1,True,10,25,0.0007739067077636719,196
29,0,0,True,7,29,0.0009747743606567383,197
20,1,1,True,8,19,0.00025200843811035156,198
24,1,1,True,6,12,0.00010212262471516927,199
25,0,0,True,7,25,0.0006126165390014648,200
16,0,0,True,7,16,0.00016295909881591797,201
30,1,1,True,8,29,0.0008807778358459473,202
21,0,0,True,9,21,0.00028634071350097656,203
25,1,1,True,6,12,9.23474629720052e-05,204
19,0,0,True,7,19,0.00025516748428344727,205
18,1,1,True,8,9,5.513429641723633e-05,206
16,0,0,True,5,16,0.0001808802286783854,207
23,1,1,True,8,11,8.487701416015625e-05,208
25,0,0,True,7,25,0.0006390213966369629,209
24,1,1,True,12,23,0.0004961490631103516,210
16,0,0,True,5,16,0.00024588902791341144,211
22,0,0,True,7,22,0.0003860592842102051,212
29,0,0,True,7,29,0.0009352564811706543,213
30,1,0,False,8,30,0.0010759830474853516,214
17,0,0,True,7,17,0.0001779794692993164,215
25,0,0,True,7,25,0.000651240348815918,216
30,1,1,True,8,29,0.0009632706642150879,217
27,1,1,True,12,26,0.0010147492090861003,218
25,0,0,True,11,25,0.0008752346038818359,219
